model_name,GPUMemoryReq,BasicRuntime
alexnet_bs128_224x224,2840,0.0226335
alexnet_bs32_224x224,1922,0.012731
alexnet_bs64_224x224,2102,0.0371785
densenet121_bs128_224x224,5238,0.1081568
densenet121_bs128_448x448,18006,0.4107438
densenet121_bs32_224x224,2130,0.0317523
densenet121_bs32_448x448,8324,0.1065452
densenet121_bs64_224x224,3456,0.0733956
densenet121_bs64_448x448,11540,0.2088905
densenet169_bs128_224x224,5320,0.1486387
densenet169_bs128_448x448,18006,0.4906904
densenet169_bs32_224x224,2578,0.0469629
densenet169_bs32_448x448,8356,0.1416072
densenet169_bs64_224x224,4052,0.0832893
densenet169_bs64_448x448,12816,0.2839127
densenet201_bs128_224x224,7260,0.208161
densenet201_bs128_448x448,24988,0.6100377
densenet201_bs32_224x224,5602,0.0603053
densenet201_bs32_448x448,17032,0.1945543
densenet201_bs64_224x224,5856,0.102556
densenet201_bs64_448x448,19684,0.3368986
mobilenet_v2_bs128_224x224,5684,0.0613915
mobilenet_v2_bs128_448x448,19880,0.199055
mobilenet_v2_bs32_224x224,2120,0.0156214
mobilenet_v2_bs32_448x448,5684,0.0592484
mobilenet_v2_bs64_224x224,3304,0.0257296
mobilenet_v2_bs64_448x448,10420,0.116219
mobilenet_v3_bs128_224x224,2996,0.0368475
mobilenet_v3_bs128_448x448,9176,0.134951
mobilenet_v3_bs32_224x224,1702,0.0141692
mobilenet_v3_bs32_448x448,3006,0.0429719
mobilenet_v3_bs64_224x224,2006,0.0224504
mobilenet_v3_bs64_448x448,5044,0.0826098
resnet152_bs128_224x224,5848,0.128003
resnet152_bs128_448x448,18200,0.4572263
resnet152_bs32_224x224,4284,0.0511251
resnet152_bs32_448x448,8166,0.1391142
resnet152_bs64_224x224,4538,0.0818608
resnet152_bs64_448x448,11768,0.2844789
resnet18_bs128_224x224,3764,0.0315462
resnet18_bs128_448x448,7142,0.100862
resnet18_bs32_224x224,2396,0.0287716
resnet18_bs32_448x448,3356,0.030836
resnet18_bs64_224x224,2918,0.0190027
resnet18_bs64_448x448,4124,0.0667997
resnet50_bs128_224x224,6106,0.0807613
resnet50_bs128_448x448,18070,0.2437039
resnet50_bs32_224x224,2656,0.0220852
resnet50_bs32_448x448,8422,0.0793163
resnet50_bs64_224x224,4324,0.0427135
resnet50_bs64_448x448,11638,0.1326039
vgg11_bs128_224x224,8246,0.075269
vgg11_bs128_448x448,24276,0.2320256
vgg11_bs32_224x224,5408,0.0182374
vgg11_bs32_448x448,13488,0.0776194
vgg11_bs64_224x224,5648,0.0310962
vgg11_bs64_448x448,16458,0.1108048
vgg16_bs128_224x224,13096,0.1067948
vgg16_bs128_448x448,34872,0.5307368
vgg16_bs32_224x224,6096,0.0302501
vgg16_bs32_448x448,16422,0.1049688
vgg16_bs64_224x224,9142,0.0581186
vgg16_bs64_448x448,24246,0.2137697
vgg19_bs128_224x224,13158,0.1331972
vgg19_bs128_448x448,34902,0.5987835
vgg19_bs32_224x224,6318,0.0328792
vgg19_bs32_448x448,16102,0.131499
vgg19_bs64_224x224,9270,0.0734727
vgg19_bs64_448x448,24406,0.266444
